device_id,device_type,measure_time,serial_number,coordinates,temperature,oxygen_mpl,oxygen_per,oxygen_ppm,timestamp,date_time
wando01,Buoy,1731832260703,SN-PODOC-3833,"{'latitude': 34.382442474365234, 'longitude': 126.73637390136719}","{'value': 18.311555862426758, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:31:00.703,2024-11-17 08:31:00
wando01,Buoy,1731832196463,SN-PODOC-3833,"{'latitude': 34.38243865966797, 'longitude': 126.73636627197266}","{'value': 18.331031799316406, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:29:56.463,2024-11-17 08:29:56
wando01,Buoy,1731832132223,SN-PODOC-3833,"{'latitude': 34.38243865966797, 'longitude': 126.73636627197266}","{'value': 18.335655212402344, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:28:52.223,2024-11-17 08:28:52
wando01,Buoy,1731832067994,SN-PODOC-3833,"{'latitude': 34.38243865966797, 'longitude': 126.73636627197266}","{'value': 18.32447052001953, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:27:47.994,2024-11-17 08:27:47
wando01,Buoy,1731832003762,SN-PODOC-3833,"{'latitude': 34.3824348449707, 'longitude': 126.73636627197266}","{'value': 18.31659698486328, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:26:43.762,2024-11-17 08:26:43
wando01,Buoy,1731831939525,SN-PODOC-3833,"{'latitude': 34.3824348449707, 'longitude': 126.73636627197266}","{'value': 18.329898834228516, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:25:39.525,2024-11-17 08:25:39
wando01,Buoy,1731831875301,SN-PODOC-3833,"{'latitude': 34.3824348449707, 'longitude': 126.73636627197266}","{'value': 18.33121109008789, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:24:35.301,2024-11-17 08:24:35
wando01,Buoy,1731831811082,SN-PODOC-3833,"{'latitude': 34.3824348449707, 'longitude': 126.73636627197266}","{'value': 18.313404083251953, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:23:31.082,2024-11-17 08:23:31
wando01,Buoy,1731831746854,SN-PODOC-3833,"{'latitude': 34.3824348449707, 'longitude': 126.73636627197266}","{'value': 18.3123607635498, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:22:26.854,2024-11-17 08:22:26
wando01,Buoy,1731831682637,SN-PODOC-3833,"{'latitude': 34.3824348449707, 'longitude': 126.73636627197266}","{'value': 18.313852310180664, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:21:22.637,2024-11-17 08:21:22
wando01,Buoy,1731831618402,SN-PODOC-3833,"{'latitude': 34.38243103027344, 'longitude': 126.73636627197266}","{'value': 18.317729949951172, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:20:18.402,2024-11-17 08:20:18
wando01,Buoy,1731831554171,SN-PODOC-3833,"{'latitude': 34.38243103027344, 'longitude': 126.73635864257812}","{'value': 18.312747955322266, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:19:14.171,2024-11-17 08:19:14
wando01,Buoy,1731831489922,SN-PODOC-3833,"{'latitude': 34.38243103027344, 'longitude': 126.73635864257812}","{'value': 18.3423957824707, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:18:09.922,2024-11-17 08:18:09
wando01,Buoy,1731831425176,SN-PODOC-3833,"{'latitude': 34.3824348449707, 'longitude': 126.73636627197266}","{'value': 18.340604782104492, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:17:05.176,2024-11-17 08:17:05
wando01,Buoy,1731831234886,SN-PODOC-3833,"{'latitude': 34.38243103027344, 'longitude': 126.73636627197266}","{'value': 18.3479118347168, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:13:54.886,2024-11-17 08:13:54
wando01,Buoy,1731831170565,SN-PODOC-3833,"{'latitude': 34.38243103027344, 'longitude': 126.73636627197266}","{'value': 18.342365264892578, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:12:50.565,2024-11-17 08:12:50
wando01,Buoy,1731831106245,SN-PODOC-3833,"{'latitude': 34.38243103027344, 'longitude': 126.73636627197266}","{'value': 18.34821128845215, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:11:46.245,2024-11-17 08:11:46
