device_id,device_type,measure_time,serial_number,coordinates,temperature,oxygen_mpl,oxygen_per,oxygen_ppm,timestamp,date_time
wando01,Buoy,1732289169303,SN-PODOC-3833,"{'latitude': 34.3824234008789, 'longitude': 126.73635864257812}","{'value': 15.411256790161133, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 15:26:09.303,2024-11-22 15:26:09
wando01,Buoy,1732289105082,SN-PODOC-3833,"{'latitude': 34.3824234008789, 'longitude': 126.73636627197266}","{'value': 15.412927627563477, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 15:25:05.082,2024-11-22 15:25:05
wando01,Buoy,1732289040842,SN-PODOC-3833,"{'latitude': 34.382415771484375, 'longitude': 126.73635864257812}","{'value': 15.4150447845459, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 15:24:00.842,2024-11-22 15:24:00
wando01,Buoy,1732288976621,SN-PODOC-3833,"{'latitude': 34.382415771484375, 'longitude': 126.73635864257812}","{'value': 15.40976619720459, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 15:22:56.621,2024-11-22 15:22:56
wando01,Buoy,1732288912393,SN-PODOC-3833,"{'latitude': 34.382415771484375, 'longitude': 126.73635864257812}","{'value': 15.40654468536377, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 15:21:52.393,2024-11-22 15:21:52
wando01,Buoy,1732288848142,SN-PODOC-3833,"{'latitude': 34.382415771484375, 'longitude': 126.73635864257812}","{'value': 15.402130126953125, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 15:20:48.142,2024-11-22 15:20:48
wando01,Buoy,1732288783911,SN-PODOC-3833,"{'latitude': 34.382415771484375, 'longitude': 126.73635864257812}","{'value': 15.40230941772461, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 15:19:43.911,2024-11-22 15:19:43
wando01,Buoy,1732288719679,SN-PODOC-3833,"{'latitude': 34.382415771484375, 'longitude': 126.73635864257812}","{'value': 15.387248039245605, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 15:18:39.679,2024-11-22 15:18:39
wando01,Buoy,1732288655470,SN-PODOC-3833,"{'latitude': 34.382415771484375, 'longitude': 126.73635864257812}","{'value': 15.386412620544434, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 15:17:35.470,2024-11-22 15:17:35
wando01,Buoy,1732288590754,SN-PODOC-3833,"{'latitude': 34.382408142089844, 'longitude': 126.7363510131836}","{'value': 15.381402015686035, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 15:16:30.754,2024-11-22 15:16:30
